id_escola;Nome;Cluster;Status da Escola;Adimplência Contratual;Adimplência Financeira;Vendas SLM 2025;Direito a voucher;;Habilitação Voucher;Qtd. Vouchers;Código do voucher;Voucher enviado ;Observação
10;Maple Bear Camaçari - Busca Vida I;Desenvolvimento;Ativa;Sim;Sim;157;Sim;;5%;8;MBBA2026204;SIM;
100;Maple Bear Paulínia - Morumbi I;Potente;Ativa;Sim;Sim;227;Sim;;5%;11;MBSP2026181;SIM;
101;Maple Bear Piracicaba - Vila Rezende I e II;Potente;Ativa;Sim;Sim;343;Sim;;5%;17;MBSP2026133;SIM;
102;Maple Bear Praia Grande - Canto Do Forte I;Alerta;Ativa;Sim;Sim;174;Sim;;5%;9;MBSP2026199;SIM;
103;Maple Bear Presidente Prudente - Jardim Cambuí;Potente;Ativa;Sim;ROY/FDMP;331;Não ;;5%;17;MBSP2026158;SIM;"e-mail enviado dia 04/08
Ana 11/08: Cyndi enviou hoje um email com o detalhamento dos valores devidos para a owner Ana Paula.
Ana 06/01: Conversei com a Cyndi hoje, pessoalmente, e ela me informou que foi celebrado um acordo com a escola, para pagamento das pendências em 15x. Liberei os vouchers nesta data"
104;Maple Bear Ribeirão Preto - Bonfim Paulista I;Desenvolvimento;Ativa;Sim;Sim;553;Sim;;5%;28;MBSP2026121;SIM;
107;Maple Bear Santa Bárbara D'Oeste - Jardim Mollon I;Potente;Ativa;Sim;Sim;228;Sim;;5%;11;MBSP2026157;SIM;Ana 04/08: Ana respondeu o email peindo o envio de 8 vouchers para filhos de owners. Questionei Ramires e Pantuzza, pois eu não tenho registro dessas orientações. 
108;Maple Bear Santo André - Campestre I;Desenvolvimento;Ativa;Sim;Sim;115;Sim;;5%;6;MBSP2026221;SIM;
110;Maple Bear São Bernardo Do Campo - Centro;Potente;Ativa;Sim;FDMP;300;Sim;;5%;15;MBSP2026146;SIM;"e-mail enviado dia 04/08.
Ana 11/08: Cyndi informou no grupo financeiro + SAF que fez uma negociação com a escola, então os vouchers podem ser liberados. "
111;Maple Bear São Caetano Do Sul - Santa Paula;Desenvolvimento;Ativa;Sim;ROY;214;Não ;;5%;11;MBSP2026177;SIM;"Ana 05/08: Não mandei email ainda, pois a Cyndi está fazendo contato para renegociar com essa escola. Aguardarei até o final do dia. 
Ana 19/11: Enviei os vouchers, pois conforme e-mail VOUCHERS SLM - MB SÃO CAETANO SANTA PAULA o owner realizou o pagamento das pendências. "
112;Maple Bear São José Do Rio Preto - Jardim Francisco Fernandes I;Desenvolvimento;Ativa;Sim;Sim;319;Sim;;5%;16;MBSP2026143;SIM;Total 22 vouchers codigo unico MBSP2026143 unidades I e II 
113;Maple Bear São José Do Rio Preto - Redentora II;Desenvolvimento;Ativa;Sim;Sim;126;Sim;;5%;6;MBSP2026143;SIM;Total 22 vouchers codigo unico MBSP2026143 unidades I e II 
114;Maple Bear São José Dos Campos - Serimbura I;Potente;Ativa;Sim;Sim;308;Sim;;5%;15;MBSP2026160;SIM;
115;Maple Bear Santana De Parnaíba - Alphaville I;Alerta;Ativa;Sim;Sim;537;Sim;;5%;27;MBSP2026115;SIM;
117;Maple Bear São Paulo - Cantareira ;Potente;Ativa;Sim;ROY/FDMP;385;Sim;;5%;19;MBSP2026138;SIM;"e-mail enviado dia 04/08
Ana 05/08: Enviamos os vouchers pois no grupo Teams que temos com o financeiro, a Cyndi nos informou que Cantareira e Santana estão adimplentes"
119;Maple Bear São Paulo - Granja Julieta I e II;Potente;Ativa;Sim;ROY;254;Sim;;5%;12;MBSP2026245;SIM;"Total 12 vouchers codigo MBSP2026245 unidades I e II
Ana 05/08: Voucher enviado de acordo com o retorno da Cyndi no e-mail Atualizar Status financeiro onde ela nos passou atualizações sobre negociação e/ou quitação de pendências das unidades. 
Ana 14/10: Desmembrado voucher conformsolicitado "
12;Maple Bear Salvador - Pituba I;Desenvolvimento;Ativa;Sim;Sim;548;Sim;;5%;27;MBBA2026113;SIM;
120;Maple Bear Granja Viana - Cotia Jardim Lambreta I;Desenvolvimento;Ativa;Sim;Sim;219;Sim;;5%;11;MBSP2026147;SIM;
121;Maple Bear São Paulo - Jaguaré ;Potente;Ativa;Não;Sim;139;Sim;;5%;7;MBSP2026237;SIM;Ana 14/08: Cyndi nos avisou que fez algumas confirmações com o Ramires e que não há pendências financeiras por parte da escola (conversa feita pessoalmente nesta data). Ainda na mesma conversa, Ramires nos explicou que há uma atualização contratual devido a mudança no quadro societário da empresa, mas que está fluindo e nos autorizou a mandar os vouchers.)
122;Maple Bear São Paulo - Jardins I e II;Desenvolvimento;Ativa;Sim;ROY/FDMP;750;Sim;;5%;38;MBSP2026105;SIM;"e-mail enviado dia 04/08
Ana 08/08: Vi na planilha da Cyndi que há um acordo para as pendências financeiras, portanto, estou enviando os vouchers nesta data."
123;Maple Bear São Paulo - Mooca I;Alerta;Ativa;Sim;Sim;75;Sim;;5%;4;MBSP2532026;SIM;Total 12 vouchers codigo MBSP2532026 unidades I e II
124;Maple Bear São Paulo - Mooca II;Alerta;Ativa;Sim;Sim;150;Sim;;5%;8;MBSP2532026;SIM;Total 12 vouchers codigo MBSP2532026 unidades I e II
125;Maple Bear São Paulo - Morumbi Paineiras I;Desenvolvimento;Ativa;Sim;Sim;188;Sim;;5%;9;MBSP2026165;SIM;
128;Maple Bear São Paulo - Pompéia I;Potente;Ativa;Sim;FDMP;89;Sim;;5%;4;MBSP2026156;SIM;"12 vouchers para unidades I e II MBSP2026156 / e-mail enviado dia 04/08
Ana 04/08: Emerson respondeu que não há pendências e mandou um print do Portal. Mandei uma mensagem para Cyndi e respondoi o Emerson falando que estamos checando com nosso time financeiro. 
Ana 25/08: Cyndi respondeu e-mail do Emerson informando que não há nenhuma pendência da escola para com a central. Liberei os vouchers nessa data. "
129;Maple Bear São Paulo - Santana I e II;Potente;Ativa;Sim;ROY/FDMP;296;Sim;;5%;15;MBSP2026236;SIM;"15 vouchers unidades I e II codigo MBSP2026236 / e-mail enviado dia 04/08
Ana 05/08: Enviamos os vouchers pois no grupo Teams que temos com o financeiro, a Cyndi nos informou que Cantareira e Santana estão adimplentes"
13;Maple Bear Salvador - Canela I;Potente;Ativa;Sim;Sim;148;Sim;;5%;7;MBBA2026224;SIM;
